Time,BC,BC post,car_line1,car_line3,truck_line2,car_line2,car_line1_stop,truck_line2_stop,truck_line3,truck_line1,summed,traffic,history_temperature,history_wind_speed,history_humidity,forecast_temperature,forecast_wind_speed,forecast_humidity
2024-11-05 17:41:00,1169,1156,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:41:10,1262,1156,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:41:20,1037,1156,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:41:30,1101,1000,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:41:40,1034,1000,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:41:50,930,1000,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:42:00,935,1000,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:42:10,599,916,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:42:20,971,916,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:42:30,922,916,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:42:40,885,916,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:42:50,1205,916,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:43:00,625,846,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:43:10,585,846,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,6.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:43:20,1189,846,3.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,9.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:43:30,818,846,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:43:40,1011,846,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
