Time,BC,BC post,car_line2,car_line2_stop,car_line3,truck_line2,truck_line2_stop,car_line1,car_line1_stop,truck_line3,truck_line3_stop,summed,traffic,history_temperature,history_wind_speed,history_humidity,forecast_temperature,forecast_wind_speed,forecast_humidity
2024-11-04 18:06:00,676.0,753.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.8,14.7,15.7,70.0,12.3,11.9,70.0
2024-11-04 18:06:30,785.0,801.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,0.8,14.7,15.7,70.0,12.3,11.9,70.0
2024-11-04 18:07:00,816.0,801.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.8,14.7,15.7,70.0,12.3,11.9,70.0
2024-11-04 18:07:30,796.0,861.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,0.8,14.7,15.7,70.0,12.3,11.9,70.0
2024-11-04 18:08:00,925.0,861.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.8,14.7,15.7,70.0,12.3,11.9,70.0
2024-11-04 18:08:30,629.0,650.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8,14.7,15.7,70.0,12.3,11.9,70.0
2024-11-04 18:09:00,670.0,650.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,14.7,15.7,70.0,12.3,11.9,70.0
2024-11-04 18:09:30,580.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,14.7,15.7,70.0,12.3,11.9,70.0
2024-11-04 18:10:00,549.0,552.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.8,14.7,15.7,70.0,12.3,11.9,70.0
2024-11-04 18:10:30,528.0,552.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,14.7,15.7,70.0,12.3,11.9,70.0
2024-11-04 18:11:00,571.0,568.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.8,14.7,15.7,70.0,12.3,11.9,70.0
2024-11-04 18:11:30,559.0,568.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.8,14.7,15.7,70.0,12.3,11.9,70.0
2024-11-04 18:12:00,573.0,568.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.8,14.7,15.7,70.0,12.3,11.9,70.0
