Time,BC,BC post,car_line1,car_line2,car_line1_stop,truck_line1,truck_line2,summed,traffic,history_temperature,history_wind_speed,history_humidity,forecast_temperature,forecast_wind_speed,forecast_humidity
2024-11-05 17:14:00,349,675,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:14:10,-242,675,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:14:20,874,675,1.0,0.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:14:30,955,675,3.0,0.0,0.0,0.0,0.0,3.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:14:40,1623,675,3.0,2.0,0.0,2.0,0.0,7.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:14:50,394,610,1.0,0.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:15:00,475,610,2.0,0.0,0.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:15:10,685,610,2.0,0.0,1.0,0.0,0.0,3.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:15:20,743,610,1.0,0.0,1.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:15:30,556,610,1.0,0.0,1.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:15:40,805,610,1.0,1.0,0.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:15:50,677,604,0.0,1.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:16:00,516,604,0.0,3.0,0.0,0.0,0.0,3.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:16:10,679,604,0.0,2.0,0.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:16:20,635,604,0.0,3.0,0.0,0.0,0.0,3.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:16:30,561,604,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:16:40,558,604,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:16:50,614,591,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:17:00,360,591,0.0,1.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:17:10,704,591,2.0,3.0,0.0,0.0,0.0,5.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:17:20,472,591,1.0,1.0,0.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:17:30,824,591,1.0,0.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:17:40,571,591,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:17:50,686,563,0.0,1.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:18:00,522,563,1.0,0.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:18:10,443,563,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:18:20,528,563,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:18:30,564,563,0.0,2.0,0.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:18:40,632,563,0.0,0.0,0.0,0.0,1.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:18:50,568,563,1.0,0.0,0.0,1.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:19:00,602,592,4.0,0.0,0.0,0.0,0.0,4.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:19:10,484,592,1.0,1.0,0.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:19:20,555,592,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:19:30,715,592,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:19:40,814,592,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:19:50,379,592,0.0,1.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:20:00,855,656,1.0,1.0,0.0,0.0,1.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:20:10,545,656,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:20:20,689,656,3.0,0.0,0.0,0.0,0.0,3.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:20:30,454,656,2.0,1.0,0.0,0.0,0.0,3.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:20:40,646,656,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:20:50,747,656,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:21:00,426,637,2.0,0.0,0.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:21:10,696,637,1.0,0.0,1.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:21:20,543,637,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:21:30,699,637,1.0,0.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:21:40,900,637,3.0,0.0,0.0,0.0,0.0,3.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:21:50,559,637,3.0,0.0,0.0,0.0,0.0,3.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:22:00,581,634,1.0,1.0,1.0,0.0,0.0,3.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:22:10,573,634,1.0,0.0,1.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:22:20,897,634,1.0,0.0,1.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:22:30,535,634,2.0,0.0,0.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:22:40,625,634,0.0,1.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:22:50,592,634,0.0,1.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:23:00,665,687,1.0,0.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:23:10,855,687,2.0,1.0,0.0,0.0,1.0,3.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:23:20,738,687,2.0,0.0,0.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:23:30,508,687,1.0,0.0,1.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:23:40,573,687,1.0,0.0,1.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:23:50,781,687,1.0,0.0,1.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:24:00,650,657,1.0,1.0,0.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
