Time,BC,BC post,car_line1,car_line3,truck_line2,car_line2,car_line1_stop,truck_line2_stop,truck_line3,truck_line1,summed,traffic,history_temperature,history_wind_speed,history_humidity,forecast_temperature,forecast_wind_speed,forecast_humidity
2024-11-05 17:41:00,1113,987,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:41:10,832,987,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:41:20,885,987,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:41:30,1118,987,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:41:40,1295,1342,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:41:50,1581,1342,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:42:00,1149,1342,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:42:10,967,847,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:42:20,764,847,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:42:30,919,847,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:42:40,641,847,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:42:50,944,847,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:43:00,782,850,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:43:10,954,850,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,6.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:43:20,810,850,3.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,9.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:43:30,787,850,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:43:40,917,850,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
