Time,BC,BC post,car_line3,car_line2,car_line2_stop,car_line1,truck_line3,car_line1_stop,car_line3_stop,truck_line2,truck_line2_stop,summed,traffic,history_temperature,history_wind_speed,history_humidity,forecast_temperature,forecast_wind_speed,forecast_humidity
2024-11-04 19:04:30,636.0,658.0,5.0,3.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,8.0,0.9,15.3,15.5,68.0,12.5,12.2,76.0
2024-11-04 19:05:00,679.0,658.0,6.0,1.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,7.0,0.9,15.3,15.5,68.0,12.5,12.2,76.0
2024-11-04 19:05:30,624.0,622.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,15.3,15.5,68.0,12.5,12.2,76.0
2024-11-04 19:06:00,619.0,622.0,10.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.9,15.3,15.5,68.0,12.5,12.2,76.0
2024-11-04 19:06:30,598.0,604.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.9,15.3,15.5,68.0,12.5,12.2,76.0
2024-11-04 19:07:00,609.0,604.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9,15.3,15.5,68.0,12.5,12.2,76.0
2024-11-04 19:07:30,721.0,644.0,13.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.9,15.3,15.5,68.0,12.5,12.2,76.0
2024-11-04 19:08:00,567.0,644.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,15.3,15.5,68.0,12.5,12.2,76.0
2024-11-04 19:08:30,609.0,586.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9,15.3,15.5,68.0,12.5,12.2,76.0
2024-11-04 19:09:00,562.0,586.0,7.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.9,15.3,15.5,68.0,12.5,12.2,76.0
2024-11-04 19:09:30,659.0,703.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,15.3,15.5,68.0,12.5,12.2,76.0
2024-11-04 19:10:00,746.0,703.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,15.3,15.5,68.0,12.5,12.2,76.0
2024-11-04 19:10:30,731.0,636.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.9,15.3,15.5,68.0,12.5,12.2,76.0
2024-11-04 19:11:00,540.0,636.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,15.3,15.5,68.0,12.5,12.2,76.0
2024-11-04 19:11:30,866.0,816.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,15.3,15.5,68.0,12.5,12.2,76.0
2024-11-04 19:12:00,765.0,816.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.9,15.3,15.5,68.0,12.5,12.2,76.0
2024-11-04 19:12:30,674.0,590.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9,15.3,15.5,68.0,12.5,12.2,76.0
2024-11-04 19:13:00,505.0,590.0,11.0,5.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,0.9,15.3,15.5,68.0,12.5,12.2,76.0
2024-11-04 19:13:30,427.0,484.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9,15.3,15.5,68.0,12.5,12.2,76.0
2024-11-04 19:14:00,560.0,484.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9,15.3,15.5,68.0,12.5,12.2,76.0
2024-11-04 19:14:30,466.0,484.0,10.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.9,15.3,15.5,68.0,12.5,12.2,76.0
2024-11-04 19:15:00,493.0,597.0,3.0,1.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,8.0,0.9,15.3,15.5,68.0,12.5,12.2,76.0
