start_time,end_time,person_line3,bicycle_line3,car_line3,car_line2,car_line2_stop,person_line3_stop,person_line1,car_line1,bus_line3,truck_line3,bus_line3_stop,motorcycle_line3,backpack_line1,train_line2,bus_line2,car_line1_stop,bus_line2_stop,backpack_line3,train_line2_stop,train_line3_stop,train_line3,bicycle_line3_stop,person_line2_stop,cell phone_line1,chair_line3,car_line3_stop,suitcase_line3,truck_line2,truck_line2_stop,person_line2,Time,history_temperature,history_wind_speed,history_humidity,BC,BC post,is_simulated
2024-11-04 18:51:00,2024-11-04 18:51:15,13.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:51:15,15.3,15.5,68,809.0,993.0,1
2024-11-04 18:51:15,2024-11-04 18:51:30,14.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:51:30,15.3,15.5,68,958.9053373615307,993.0,1
2024-11-04 18:51:30,2024-11-04 18:51:45,27.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:51:45,15.3,15.5,68,958.9053373615307,993.0,1
2024-11-04 18:51:45,2024-11-04 18:52:00,20.0,3.0,8.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:52:00,15.3,15.5,68,1177.0,993.0,1
2024-11-04 18:52:00,2024-11-04 18:52:15,15.0,1.0,3.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:52:15,15.3,15.5,68,1127.2175226586103,950.0,1
2024-11-04 18:52:15,2024-11-04 18:52:30,11.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:52:30,15.3,15.5,68,809.0,950.0,1
2024-11-04 18:52:30,2024-11-04 18:52:45,12.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:52:45,15.3,15.5,68,948.0,950.0,1
2024-11-04 18:52:45,2024-11-04 18:53:00,22.0,1.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:53:00,15.3,15.5,68,948.0,950.0,1
2024-11-04 18:53:00,2024-11-04 18:53:15,6.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:53:15,15.3,15.5,68,848.732234223991,1016.0,1
2024-11-04 18:53:15,2024-11-04 18:53:30,9.0,0.0,13.0,0.0,0.0,4.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:53:30,15.3,15.5,68,1044.0,1016.0,1
2024-11-04 18:53:30,2024-11-04 18:53:45,8.0,0.0,2.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:53:45,15.3,15.5,68,1044.0,1016.0,1
2024-11-04 18:53:45,2024-11-04 18:54:00,8.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:54:00,15.3,15.5,68,802.3934053439455,1016.0,1
2024-11-04 18:54:00,2024-11-04 18:54:15,12.0,0.0,2.0,0.0,0.0,7.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:54:15,15.3,15.5,68,817.1428571428571,792.0,1
2024-11-04 18:54:15,2024-11-04 18:54:30,10.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:54:30,15.3,15.5,68,715.0,792.0,1
2024-11-04 18:54:30,2024-11-04 18:54:45,14.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:54:45,15.3,15.5,68,948.0,792.0,1
2024-11-04 18:54:45,2024-11-04 18:55:00,3.0,0.0,3.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:55:00,15.3,15.5,68,790.0000000000001,792.0,1
