start_time,end_time,car_line1,person_line1,bicycle_line1,car_line2,car_line1_stop,person_line1_stop,tie_line1,truck_line2,motorcycle_line1,Time,BC,BC_pure,BC post
2024-11-12 18:42:15,2024-11-12 18:42:30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:42:30,870.0,950.0,1008.0
2024-11-12 18:42:30,2024-11-12 18:42:45,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:42:45,969.5974908520648,870.0,909.0
2024-11-12 18:42:45,2024-11-12 18:43:00,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:43:00,847.0,870.0,909.0
2024-11-12 18:43:00,2024-11-12 18:43:15,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:43:15,947.0,947.0,909.0
2024-11-12 18:43:15,2024-11-12 18:43:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:43:30,947.0,947.0,909.0
2024-11-12 18:43:30,2024-11-12 18:43:45,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:43:45,847.0,847.0,806.0
2024-11-12 18:43:45,2024-11-12 18:44:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:44:00,847.0,847.0,806.0
2024-11-12 18:44:00,2024-11-12 18:44:15,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:44:15,845.7136177673874,764.0,806.0
2024-11-12 18:44:15,2024-11-12 18:44:30,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:44:30,764.0,764.0,806.0
2024-11-12 18:44:30,2024-11-12 18:44:45,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:44:45,996.7111609646663,872.0,901.0
2024-11-12 18:44:45,2024-11-12 18:45:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-12 18:45:00,764.0,872.0,901.0
2024-11-12 18:45:00,2024-11-12 18:45:15,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:45:15,929.0,929.0,901.0
2024-11-12 18:45:15,2024-11-12 18:45:30,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:45:30,929.0,929.0,901.0
2024-11-12 18:45:30,2024-11-12 18:45:45,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:45:45,939.7863564251719,1019.0,949.0
2024-11-12 18:45:45,2024-11-12 18:46:00,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:46:00,1019.0,1019.0,949.0
2024-11-12 18:46:00,2024-11-12 18:46:15,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2024-11-12 18:46:15,879.0,879.0,949.0
2024-11-12 18:46:15,2024-11-12 18:46:30,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:46:30,943.8366701791359,879.0,949.0
2024-11-12 18:46:30,2024-11-12 18:46:45,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:46:45,1019.0,970.0,989.0
2024-11-12 18:46:45,2024-11-12 18:47:00,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:47:00,893.4886183165695,970.0,989.0
2024-11-12 18:47:00,2024-11-12 18:47:15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:47:15,928.9830508474577,1008.0,989.0
2024-11-12 18:47:15,2024-11-12 18:47:30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:47:30,1018.0,1008.0,989.0
2024-11-12 18:47:30,2024-11-12 18:47:45,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:47:45,870.0,870.0,944.0
2024-11-12 18:47:45,2024-11-12 18:48:00,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:48:00,975.8404846037355,870.0,944.0
2024-11-12 18:48:00,2024-11-12 18:48:15,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:48:15,1185.221902017291,1018.0,944.0
2024-11-12 18:48:15,2024-11-12 18:48:30,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:48:30,870.0,1018.0,944.0
2024-11-12 18:48:30,2024-11-12 18:48:45,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2024-11-12 18:48:45,1277.0,1111.0,1162.0
2024-11-12 18:48:45,2024-11-12 18:49:00,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2024-11-12 18:49:00,900.3912435957149,1111.0,1162.0
2024-11-12 18:49:00,2024-11-12 18:49:15,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2024-11-12 18:49:15,1277.0,1212.0,1162.0
2024-11-12 18:49:15,2024-11-12 18:49:30,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:49:30,1087.3683301461967,1212.0,1162.0
2024-11-12 18:49:30,2024-11-12 18:49:45,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2024-11-12 18:49:45,1188.2303182579565,1277.0,1277.0
2024-11-12 18:49:45,2024-11-12 18:50:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-12 18:50:00,1277.0,1277.0,1277.0
2024-11-12 18:50:00,2024-11-12 18:50:15,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:50:15,1258.0,1258.0,1258.0
2024-11-12 18:50:15,2024-11-12 18:50:30,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2024-11-12 18:50:30,1258.0,1258.0,1258.0
2024-11-12 18:50:30,2024-11-12 18:50:45,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:50:45,1277.0,1168.0,1168.0
2024-11-12 18:50:45,2024-11-12 18:51:00,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:51:00,910.0573613766732,1168.0,1168.0
2024-11-12 18:51:00,2024-11-12 18:51:15,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:51:15,931.4285714285714,815.0,842.0
2024-11-12 18:51:15,2024-11-12 18:51:30,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-12 18:51:30,815.0,815.0,842.0
2024-11-12 18:51:30,2024-11-12 18:51:45,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2024-11-12 18:51:45,1022.5153807362582,868.0,842.0
2024-11-12 18:51:45,2024-11-12 18:52:00,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:52:00,815.0,868.0,842.0
2024-11-12 18:52:00,2024-11-12 18:52:15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:52:15,868.0,860.0,861.0
2024-11-12 18:52:15,2024-11-12 18:52:30,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:52:30,805.7562767911819,860.0,861.0
2024-11-12 18:52:30,2024-11-12 18:52:45,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:52:45,769.9643312101911,861.0,861.0
2024-11-12 18:52:45,2024-11-12 18:53:00,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:53:00,868.0,861.0,861.0
2024-11-12 18:53:00,2024-11-12 18:53:15,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2024-11-12 18:53:15,847.1900826446281,765.0,734.0
2024-11-12 18:53:15,2024-11-12 18:53:30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:53:30,702.0,765.0,734.0
2024-11-12 18:53:30,2024-11-12 18:53:45,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:53:45,702.0,702.0,734.0
2024-11-12 18:53:45,2024-11-12 18:54:00,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:54:00,702.0,702.0,734.0
2024-11-12 18:54:00,2024-11-12 18:54:15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:54:15,871.0,871.0,791.0
2024-11-12 18:54:15,2024-11-12 18:54:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:54:30,777.4214876033059,871.0,791.0
2024-11-12 18:54:30,2024-11-12 18:54:45,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:54:45,702.0,711.0,791.0
2024-11-12 18:54:45,2024-11-12 18:55:00,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:55:00,790.9987357774969,711.0,791.0
2024-11-12 18:55:00,2024-11-12 18:55:15,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:55:15,868.3846637335009,785.0,833.0
2024-11-12 18:55:15,2024-11-12 18:55:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:55:30,711.0,785.0,833.0
2024-11-12 18:55:30,2024-11-12 18:55:45,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-12 18:55:45,880.0,880.0,833.0
2024-11-12 18:55:45,2024-11-12 18:56:00,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2024-11-12 18:56:00,786.5241986172218,880.0,833.0
2024-11-12 18:56:00,2024-11-12 18:56:15,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2024-11-12 18:56:15,740.0,740.0,730.0
2024-11-12 18:56:15,2024-11-12 18:56:30,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2024-11-12 18:56:30,803.9506172839506,740.0,730.0
